Time,Yaw,Pitch,Roll
0.3365921,148.17685,-40.78282,6.673655
0.4620164,145.89333,-41.675186,7.9533205
0.6621855,146.19392,-41.75447,8.18239
0.8622168,146.16159,-41.8304,8.147275
1.0618801,145.63004,-41.77808,7.876815
1.2640563,143.3819,-39.121487,2.133097
1.4653746,142.34404,-35.82181,-4.8749037
1.6620779,141.41693,-33.42933,-11.704793
1.8642949,140.19604,-29.000553,-17.16926
2.0651429,140.16531,-24.22401,-21.28095
2.265081,139.72191,-17.948921,-19.91769
2.4640732,138.95723,-12.282362,-14.935687
2.6627526,138.77777,-9.180049,-10.991269
2.8657422,139.26697,-8.592304,-6.430347
3.063939,140.63716,-12.328651,0.46050394
3.2632937,142.037,-16.957468,6.9885554
3.464479,142.4672,-22.151705,11.402198
3.665135,143.01392,-26.527853,14.705773
3.86524,143.585,-30.703114,18.151457
4.062787,144.46703,-37.230576,22.371141
4.265187,145.55391,-45.868374,21.681488
4.4644456,144.81412,-48.420506,18.510315
4.664115,142.60855,-50.453926,12.075532
4.864047,140.46024,-48.841663,4.680256
5.0631104,139.71024,-42.50242,-4.53064
5.2662535,140.5876,-36.25939,-10.421969
5.465186,141.51967,-30.369692,-13.269725
5.66414,142.55939,-25.32136,-14.426495
5.863199,144.3362,-19.514362,-13.610911
6.065142,145.57892,-16.472954,-9.862137
6.2647023,146.04199,-18.75991,0.013417384
6.465188,146.22385,-28.938839,13.899687
6.6637974,146.83482,-35.02561,19.239557
6.8660364,147.58688,-41.299393,23.341358
7.0664673,146.93845,-41.950687,21.411581
7.2619033,146.80148,-40.84529,19.709618
7.5135965,146.60497,-40.500362,18.93325
7.661951,145.84161,-39.851955,17.40255
7.8624015,145.42044,-39.52398,16.357471
8.061944,144.98622,-38.810734,14.32212
8.263319,144.94785,-38.7307,13.674193
8.463743,145.19827,-38.858498,13.613848
